exception_id,transaction_id,detected_date,exception_type,all_issues,risk_level,risk_score,status,amount_eur,payment_provider,currency,transaction_date,recommended_action,audit_note,anomaly_score
EX-1031,TX-100321,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Medium,35,In review,1020.18,P-03,EUR,2026-07-21,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,61.6
EX-1044,TX-100542,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Low,23,In review,952.85,P-01,GBP,2026-07-21,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,58.7
EX-1017,TX-100170,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Low,23,In review,949.59,P-02,GBP,2026-07-22,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,57.5
EX-1014,TX-100118,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Low,23,In review,948.11,P-01,EUR,2026-07-12,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,58.4
EX-1033,TX-100359,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Low,23,In review,948.04,P-01,GBP,2026-07-14,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,58.4
EX-1021,TX-100214,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Low,23,In review,935.68,P-02,EUR,2026-07-22,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,59.3
EX-1038,TX-100453,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Low,23,In review,926.25,P-01,GBP,2026-07-09,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,58.3
EX-1040,TX-100478,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Low,23,In review,891.6,P-01,EUR,2026-07-04,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,57.7
EX-1051,TX-100630,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Low,23,In review,887.67,P-01,GBP,2026-07-23,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,57.7
EX-1022,TX-100218,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Low,23,In review,874.78,P-01,EUR,2026-07-22,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,56.8
EX-1026,TX-100265,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Low,23,In review,778.61,P-03,EUR,2026-07-03,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,56.9
EX-1048,TX-100597,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Low,23,In review,738.51,P-03,EUR,2026-07-19,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,56.1
EX-1036,TX-100411,2026-07-24,Missing regulatory classification,Missing regulatory classification,Low,20,In review,378.25,P-01,GBP,2026-07-13,Complete classification before regulatory reporting.,Automated control detected missing regulatory classification. No manual override applied.,45.1
EX-1005,TX-100018,2026-07-24,Missing regulatory classification,Missing regulatory classification,Low,20,In review,255.02,P-01,USD,2026-07-09,Complete classification before regulatory reporting.,Automated control detected missing regulatory classification. No manual override applied.,43.0
EX-1024,TX-100238,2026-07-24,Missing regulatory classification,Missing regulatory classification,Low,20,In review,174.4,P-01,GBP,2026-07-09,Complete classification before regulatory reporting.,Automated control detected missing regulatory classification. No manual override applied.,43.1
EX-1035,TX-100381,2026-07-24,Unusual transaction pattern,Unusual transaction pattern,Low,15,In review,42.65,P-01,USD,2026-07-14,Review the transaction pattern and supporting evidence.,Automated control detected unusual transaction pattern. No manual override applied.,56.7
